review_id,review_text,sentiment_label,sentiment_score,identified_theme(s),date,bank
245,አሪፍ ነው በርቱልን,neutral,0.0,Uncategorized Feedback,2024-10-03,Bank of Abyssinia
246,Wwwerrr,neutral,0.0,Uncategorized Feedback,2024-10-02,Bank of Abyssinia
247,ጀማል ውቀቱ,neutral,0.0,Uncategorized Feedback,2024-09-30,Bank of Abyssinia
248,Great For Financial company,positive,0.4,Positive User Experience & Features,2024-09-30,Bank of Abyssinia
249,Very easy to use,positive,0.5633333333333334,Positive User Experience & Features,2024-09-30,Bank of Abyssinia
250,The App's crash always.. Error.....,neutral,0.0,Uncategorized Feedback,2024-09-27,Bank of Abyssinia
251,This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,neutral,-0.053125,Excellent Customer Service; General Negative Feedback,2024-09-26,Bank of Abyssinia
252,nice,positive,0.6,Uncategorized Feedback,2024-09-26,Bank of Abyssinia
253,Great UI and seamless UX. I love it!!,positive,0.5604166666666667,Positive User Experience & Features,2024-09-25,Bank of Abyssinia
254,That's too good application but try to add more alternatives and futures or possibilitys for your customers,positive,0.6,Uncategorized Feedback,2024-09-25,Bank of Abyssinia
255,It's easy used to operate program and secured 👍👍,positive,0.4333333333333333,Positive User Experience & Features,2024-09-25,Bank of Abyssinia
256,I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,neutral,0.0,Uncategorized Feedback,2024-09-21,Bank of Abyssinia
257,Amazing,positive,0.6000000000000001,Positive User Experience & Features,2024-09-19,Bank of Abyssinia
258,Great app with great services,positive,0.8,Positive User Experience & Features,2024-09-19,Bank of Abyssinia
259,Yes active user,negative,-0.1333333333333333,Uncategorized Feedback,2024-09-17,Bank of Abyssinia
260,Shameful,neutral,0.0,Uncategorized Feedback,2024-09-17,Bank of Abyssinia
261,The worest app ever made i would not recommende for no one,neutral,0.0,Uncategorized Feedback,2024-09-16,Bank of Abyssinia
262,Good application,positive,0.7,Uncategorized Feedback,2024-09-16,Bank of Abyssinia
263,I like,neutral,0.0,Uncategorized Feedback,2024-09-16,Bank of Abyssinia
264,Good,positive,0.7,Uncategorized Feedback,2024-09-16,Bank of Abyssinia
265,"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",positive,0.5,Uncategorized Feedback,2024-09-15,Bank of Abyssinia
266,"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",positive,0.1392857142857143,Uncategorized Feedback,2024-09-15,Bank of Abyssinia
267,የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),neutral,0.0,Uncategorized Feedback,2024-09-14,Bank of Abyssinia
268,It's not working. It needs a big update. Can't you update the app quickly?,positive,0.1666666666666666,App Performance & Stability Issues,2024-09-14,Bank of Abyssinia
269,"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",positive,0.6,Uncategorized Feedback,2024-09-14,Bank of Abyssinia
270,"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",neutral,0.0666666666666666,General Negative Feedback,2024-09-13,Bank of Abyssinia
271,Bes and freindly app,neutral,0.0,Uncategorized Feedback,2024-09-13,Bank of Abyssinia
272,It doesn't work.,neutral,0.0,Uncategorized Feedback,2024-09-12,Bank of Abyssinia
273,"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",negative,-0.4638888888888888,General Negative Feedback,2024-09-11,Bank of Abyssinia
274,How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,negative,-1.0,General Negative Feedback,2024-09-11,Bank of Abyssinia
275,Good,positive,0.7,Uncategorized Feedback,2024-09-10,Bank of Abyssinia
276,Smart technology,positive,0.2142857142857142,Uncategorized Feedback,2024-09-10,Bank of Abyssinia
277,Yegema app tish🪨,neutral,0.0,Uncategorized Feedback,2024-09-08,Bank of Abyssinia
278,Ok,positive,0.5,Uncategorized Feedback,2024-09-07,Bank of Abyssinia
279,"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",negative,-0.25,Uncategorized Feedback,2024-09-07,Bank of Abyssinia
280,"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",negative,-0.2483333333333333,General Negative Feedback; Poor Customer Service,2024-09-06,Bank of Abyssinia
281,"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",positive,0.1898148148148148,App Performance & Stability Issues,2024-09-06,Bank of Abyssinia
282,Awesome application. But lately its crashing everytime i opened it.,positive,0.35,Uncategorized Feedback,2024-09-05,Bank of Abyssinia
283,እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,neutral,0.0,Uncategorized Feedback,2024-09-05,Bank of Abyssinia
284,good,positive,0.7,Uncategorized Feedback,2024-09-05,Bank of Abyssinia
285,Fast one,positive,0.2,Positive User Experience & Features,2024-09-04,Bank of Abyssinia
286,Nice looking app but a terrible user experience.,negative,-0.2,General Negative Feedback,2024-09-03,Bank of Abyssinia
287,The worest MB app ever!!🙄,neutral,0.0,Uncategorized Feedback,2024-09-02,Bank of Abyssinia
288,Very good,positive,0.91,Uncategorized Feedback,2024-09-01,Bank of Abyssinia
289,It is ok,positive,0.5,Uncategorized Feedback,2024-09-01,Bank of Abyssinia
290,Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,neutral,0.0,App Performance & Stability Issues,2024-08-30,Bank of Abyssinia
291,Good,positive,0.7,Uncategorized Feedback,2024-08-30,Bank of Abyssinia
292,Apollo's,neutral,0.0,Uncategorized Feedback,2024-08-29,Bank of Abyssinia
293,The worst experience ever,negative,-1.0,General Negative Feedback,2024-08-29,Bank of Abyssinia
294,Hussenaliumar,neutral,0.0,Uncategorized Feedback,2024-08-29,Bank of Abyssinia
295,Good,positive,0.7,Uncategorized Feedback,2024-08-28,Bank of Abyssinia
296,Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,neutral,0.0,Uncategorized Feedback,2024-08-28,Bank of Abyssinia
297,It is not work for my device,neutral,0.0,App Performance & Stability Issues,2024-08-27,Bank of Abyssinia
298,"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",negative,-0.7142857142857143,Uncategorized Feedback,2024-08-26,Bank of Abyssinia
299,The worst app ever,negative,-1.0,General Negative Feedback,2024-08-26,Bank of Abyssinia
300,Good,positive,0.7,Uncategorized Feedback,2024-08-26,Bank of Abyssinia
301,Betanya Gebre,neutral,0.0,Uncategorized Feedback,2024-08-23,Bank of Abyssinia
302,I dont recommand it to any one,neutral,0.0,Uncategorized Feedback,2024-08-23,Bank of Abyssinia
303,Good,positive,0.7,Uncategorized Feedback,2024-08-22,Bank of Abyssinia
304,Excellent app,positive,1.0,Positive User Experience & Features,2024-08-21,Bank of Abyssinia
305,"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",neutral,-0.0249999999999999,Uncategorized Feedback,2024-08-20,Bank of Abyssinia
306,ትርሃስ,neutral,0.0,Uncategorized Feedback,2024-08-19,Bank of Abyssinia
307,Gio,neutral,0.0,Uncategorized Feedback,2024-08-19,Bank of Abyssinia
308,App isn't working,neutral,0.0,Uncategorized Feedback,2024-08-18,Bank of Abyssinia
309,Best app,positive,1.0,Uncategorized Feedback,2024-08-18,Bank of Abyssinia
310,so far good but always it lugs,positive,0.3999999999999999,Uncategorized Feedback,2024-08-17,Bank of Abyssinia
311,Don't trust this bank and its service.,neutral,0.0,Uncategorized Feedback,2024-08-16,Bank of Abyssinia
312,"I can not open and use the application,please help me!",neutral,0.0,Uncategorized Feedback,2024-08-15,Bank of Abyssinia
313,Horrible,negative,-1.0,General Negative Feedback,2024-08-14,Bank of Abyssinia
314,Mostly not working 😑,negative,-0.25,App Performance & Stability Issues,2024-08-14,Bank of Abyssinia
315,Good,positive,0.7,Uncategorized Feedback,2024-08-13,Bank of Abyssinia
316,Awesome 👌,positive,1.0,Uncategorized Feedback,2024-08-12,Bank of Abyssinia
